iter	Passed	Remaining
936	8501	571
937	8515	562
938	8531	554
939	8546	545
940	8561	536
941	8574	527
942	8587	519
943	8598	510
944	8609	501
945	8620	492
946	8631	483
947	8642	474
948	8654	465
949	8665	456
950	8678	447
951	8690	438
952	8703	429
953	8717	420
954	8733	411
955	8746	402
956	8762	393
957	8774	384
958	8786	375
959	8797	366
960	8808	357
961	8819	348
962	8830	339
963	8839	330
964	8851	321
965	8862	311
966	8873	302
967	8884	293
968	8898	284
969	8911	275
970	8924	266
971	8936	257
972	8948	248
973	8958	239
974	8971	230
975	8982	220
976	8994	211
977	9005	202
978	9016	193
979	9027	184
980	9038	175
981	9050	165
982	9062	156
983	9073	147
984	9083	138
985	9095	129
986	9108	119
987	9119	110
988	9130	101
989	9142	92
990	9152	83
991	9166	73
992	9180	64
993	9193	55
994	9205	46
995	9218	37
996	9231	27
997	9244	18
998	9257	9
999	9273	0
